playername,cspm,dpm,killsat15,deathsat15,xpdiffat15,firstblood,golddiffat15
Abbedagge,9.6199,1062.8834,0,0,-215,0,332
Palafox,7.985,774.8571,2,1,-549,0,84
Zeka,9.2969,304.1775,0,0,-112,0,360
Lava,9.5573,333.5486,0,0,618,0,-802
Faker,7.6305,518.2731,0,0,-266,0,-247
Nisqy,9.3919,559.926,1,1,245,0,1222
Ablazeolive,8.9655,463.2288,0,1,194,0,-527
Palafox,8.8347,594.822,2,0,600,1,634
Abbedagge,7.7111,534.0096,2,1,-848,1,53
Abbedagge,7.6758,664.1795,1,1,283,1,614
Reeker,9.588,474.6442,0,1,-447,0,511
Nisqy,8.2148,703.4123,1,2,-105,0,-678
ShowMaker,8.4858,596.7159,0,0,217,0,1032
Faker,9.6593,554.5714,0,0,-781,0,-130
Ablazeolive,5.8028,786.8119,1,2,58,0,96
Faker,6.2302,555.4066,1,0,-91,0,-64
VicLa,9.26,538.2241,0,0,-123,0,-587
Faker,6.992,284.7012,0,1,-854,1,-249
PowerOfEvil,9.0855,440.2065,0,0,-108,0,482
Bjergsen,8.5331,338.2795,0,0,-1107,0,-863
ShowMaker,7.3628,389.817,2,1,-154,1,527
Zeka,9.7681,475.8841,0,1,-134,0,-544
Lava,8.6693,523.8189,1,0,658,0,131
Perkz,10.9015,464.2718,0,0,524,0,185
Karis,7.491,426.3107,0,0,-614,1,37
caPs,7.3567,561.2818,1,1,-1003,0,-257
Zeka,7.8832,390.3441,0,0,9,0,133
Fudge,10.6667,587.6098,1,0,882,0,508
Abbedagge,8.0496,402.6596,1,0,-191,0,430
nukeduck,8.7041,232.2244,1,1,189,0,-238
Larssen,8.4766,1138.7934,2,0,1044,1,807
Clozer,8.0025,516.8408,1,1,355,1,-362
NUCLEARINT,9.4018,613.4357,0,0,-627,0,-355
Aria,8.2556,725.5038,1,0,-442,0,-785
Lava,7.898,436.1471,0,1,-236,0,-350
Reeker,8.9748,470.1933,0,0,-246,0,-744
Karis,8.6137,257.997,0,0,-551,0,-362
Clozer,9.021,597.7185,0,2,-676,1,-897
Karis,8.8698,752.331,1,0,680,0,245
jojopyun,10.0647,900.1552,0,0,-142,0,259
Sertuss,8.8089,362.1607,1,1,-178,0,-670
Ablazeolive,6.9506,635.626,0,1,-294,0,-121
FATE,8.0478,501.8327,2,1,37,0,326
Fudge,8.9063,362.1429,1,0,-174,1,194
Dajor,5.808,533.328,0,3,-726,0,-2738
Maple,9.8507,139.2104,0,0,844,0,-581
Bdd,10.1786,551.4706,0,0,-627,0,-142
Karis,6.797,326.015,0,0,-399,0,-97
jojopyun,8.6195,517.9623,3,1,964,0,1051
Ablazeolive,7.2165,684.7423,1,3,-992,0,-1429
Blue,9.6149,662.8199,2,0,31,0,753
Lava,7.9431,383.4026,0,0,-215,0,-321
Perkz,9.0032,505.8842,0,1,-784,0,-1066
Bjergsen,6.9654,250.4644,0,0,-439,0,-274
Ablazeolive,8.2774,545.0054,0,1,-520,0,-69
VicLa,8.6838,692.8017,0,0,191,0,67
Bdd,8.7424,662.1978,0,1,1468,0,1406
FATE,10.3371,595.3652,0,0,-870,1,-438
Bdd,9.0356,585.2922,0,0,-134,0,-75
nukeduck,8.7682,553.2726,0,0,313,1,606
PowerOfEvil,9.7455,582.2956,0,1,88,0,-129
Abbedagge,13.2304,343.7307,0,0,72,0,214
Jensen,9.3619,996.6949,0,0,371,0,-382
Abbedagge,9.876,1113.1489,0,0,97,0,-116
nukeduck,7.5031,521.8489,2,0,733,0,1143
Faker,9.799,365.7789,1,0,703,0,1857
Zeka,9.8976,1109.5984,0,0,-658,0,-131
Jensen,9.5674,377.3918,2,1,1582,0,2893
Bjergsen,9.1399,462.1142,2,0,293,1,1000
Takeover,8.3871,314.879,0,1,87,0,-625
Abbedagge,8.7472,700.5376,1,0,129,0,-285
Larssen,8.5754,459.2487,0,0,175,0,202
Lava,8.1833,526.4465,1,0,-58,1,703
Ablazeolive,8.8256,381.7674,0,1,-111,0,37
Karis,7.5458,240.3971,0,2,-1449,0,-2150
Vetheo,8.6304,934.8727,1,0,-306,0,-548
Faker,7.7961,475.9046,2,0,-229,0,85
Bdd,10.357,324.9334,0,0,511,0,74
caPs,8.545,631.9841,1,0,218,0,147
caPs,7.5123,517.9557,2,2,-843,1,1037
Bjergsen,9.2978,424.7215,0,0,1227,0,-21
Clozer,9.0859,437.1078,0,0,-130,0,-57
Karis,7.8973,397.4222,0,0,-191,0,-67
Zeka,8.251,340.267,0,0,-592,1,107
Lava,11.0008,384.9303,0,1,-286,0,-242
ShowMaker,8.0857,258.929,0,0,-1249,0,-896
toucouille,9.3175,521.0645,3,0,990,1,1030
Chovy,10.9847,1210.325,0,0,703,0,1301
Zeka,9.5475,571.4489,0,0,534,0,1245
toucouille,9.6515,1084.311,0,0,198,0,569
caPs,7.7389,717.8765,0,1,460,0,-530
caPs,8.1648,218.9513,1,0,447,0,-511
toucouille,10.3015,352.2739,0,1,417,0,-322
FATE,9.3083,611.6008,1,0,-115,0,-84
Vetheo,10.3581,314.3478,0,1,-21,0,-1662
Vetheo,8.9652,359.942,1,1,-1047,0,-126
Vetheo,8.9276,882.2514,0,0,398,0,717
jojopyun,8.891,543.1961,0,0,-44,1,582
